SamplingEventID,PapaemClass,celltype.aml,n,prop
NBM4-MNC,NBM-MNC,HSC,33,0.00711820534943917
NBM4-MNC,NBM-MNC,LMPP,39,0.00841242450388265
NBM4-MNC,NBM-MNC,GMP,62,0.01337359792924935
NBM4-MNC,NBM-MNC,Monocytes,718,0.1548748921484038
NBM4-MNC,NBM-MNC,Megakaryocytic cells,11,0.00237273511647972
NBM4-MNC,NBM-MNC,Erythroid cells,127,0.02739430543572045
NBM4-MNC,NBM-MNC,Dendritic cells,145,0.03127696289905091
NBM4-MNC,NBM-MNC,NK-cells,239,0.05155306298533218
NBM4-MNC,NBM-MNC,T-cells,2873,0.6197152717860225
NBM4-MNC,NBM-MNC,B-cells,389,0.08390854184641933
NBM7-MNC,NBM-MNC,HSC,53,0.01016299137104506
NBM7-MNC,NBM-MNC,LMPP,56,0.01073825503355704
NBM7-MNC,NBM-MNC,GMP,138,0.02646212847555129
NBM7-MNC,NBM-MNC,Monocytes,1122,0.21514860977948227
NBM7-MNC,NBM-MNC,Megakaryocytic cells,22,0.00421860019175455
NBM7-MNC,NBM-MNC,Erythroid cells,490,0.09395973154362416
NBM7-MNC,NBM-MNC,Dendritic cells,94,0.01802492809204218
NBM7-MNC,NBM-MNC,NK-cells,358,0.06864813039309683
NBM7-MNC,NBM-MNC,T-cells,2077,0.398274209012464
NBM7-MNC,NBM-MNC,B-cells,805,0.15436241610738255
NBM8-MNC,NBM-MNC,HSC,86,0.01116738085962862
NBM8-MNC,NBM-MNC,LMPP,71,0.00921958187248409
NBM8-MNC,NBM-MNC,GMP,121,0.01571224516296585
NBM8-MNC,NBM-MNC,Monocytes,2097,0.27230229840280484
NBM8-MNC,NBM-MNC,Megakaryocytic cells,24,0.00311647837943124
NBM8-MNC,NBM-MNC,Erythroid cells,163,0.02116608232697052
NBM8-MNC,NBM-MNC,Dendritic cells,258,0.03350214257888586
NBM8-MNC,NBM-MNC,NK-cells,901,0.11699779249448124
NBM8-MNC,NBM-MNC,T-cells,3411,0.44292948967666534
NBM8-MNC,NBM-MNC,B-cells,569,0.07388650824568238
NBM10-MNC,NBM-MNC,HSC,77,0.014739663093415
NBM10-MNC,NBM-MNC,LMPP,58,0.01110260336906585
NBM10-MNC,NBM-MNC,GMP,144,0.02756508422664624
NBM10-MNC,NBM-MNC,Monocytes,1568,0.3001531393568147
NBM10-MNC,NBM-MNC,Megakaryocytic cells,29,0.00555130168453292
NBM10-MNC,NBM-MNC,Erythroid cells,118,0.02258805513016845
NBM10-MNC,NBM-MNC,Dendritic cells,184,0.03522205206738132
NBM10-MNC,NBM-MNC,NK-cells,380,0.07274119448698316
NBM10-MNC,NBM-MNC,T-cells,2100,0.40199081163859113
NBM10-MNC,NBM-MNC,B-cells,566,0.10834609494640124
NBM11-MNC,NBM-MNC,HSC,33,0.00428905640759033
NBM11-MNC,NBM-MNC,LMPP,50,0.0064985703145308
NBM11-MNC,NBM-MNC,GMP,125,0.01624642578632701
NBM11-MNC,NBM-MNC,Monocytes,1622,0.21081362100337925
NBM11-MNC,NBM-MNC,Megakaryocytic cells,22,0.00285937093839355
NBM11-MNC,NBM-MNC,Erythroid cells,238,0.03093319469716662
NBM11-MNC,NBM-MNC,Dendritic cells,240,0.03119313750974785
NBM11-MNC,NBM-MNC,NK-cells,900,0.11697426566155446
NBM11-MNC,NBM-MNC,T-cells,3962,0.5149467117234209
NBM11-MNC,NBM-MNC,B-cells,502,0.06524564595788926
NBM8-CD34,NBM-CD34,HSC,1512,0.33532934131736525
NBM8-CD34,NBM-CD34,LMPP,1308,0.29008649367930806
NBM8-CD34,NBM-CD34,GMP,383,0.0849412286538035
NBM8-CD34,NBM-CD34,Monocytes,199,0.04413395431359503
NBM8-CD34,NBM-CD34,Megakaryocytic cells,194,0.04302506098913284
NBM8-CD34,NBM-CD34,Erythroid cells,168,0.03725881570192947
NBM8-CD34,NBM-CD34,Dendritic cells,169,0.03748059436682191
NBM8-CD34,NBM-CD34,NK-cells,115,0.02550454646263029
NBM8-CD34,NBM-CD34,T-cells,272,0.06032379685074296
NBM8-CD34,NBM-CD34,B-cells,189,0.04191616766467065
NBM10-CD34,NBM-CD34,HSC,2489,0.3624581331003349
NBM10-CD34,NBM-CD34,LMPP,1943,0.28294742973642056
NBM10-CD34,NBM-CD34,GMP,469,0.06829765545361875
NBM10-CD34,NBM-CD34,Monocytes,35,0.00509683995922528
NBM10-CD34,NBM-CD34,Megakaryocytic cells,457,0.06655016746759866
NBM10-CD34,NBM-CD34,Erythroid cells,290,0.04223095966215232
NBM10-CD34,NBM-CD34,Dendritic cells,213,0.0310179117518567
NBM10-CD34,NBM-CD34,NK-cells,134,0.01951361584389107
NBM10-CD34,NBM-CD34,T-cells,77,0.01121304791029561
NBM10-CD34,NBM-CD34,B-cells,760,0.11067423911460608
NBM11-CD34,NBM-CD34,HSC,1957,0.28737151248164466
NBM11-CD34,NBM-CD34,LMPP,1934,0.2839941262848752
NBM11-CD34,NBM-CD34,GMP,575,0.08443465491923642
NBM11-CD34,NBM-CD34,Monocytes,88,0.01292217327459618
NBM11-CD34,NBM-CD34,Megakaryocytic cells,650,0.09544787077826726
NBM11-CD34,NBM-CD34,Erythroid cells,674,0.09897209985315712
NBM11-CD34,NBM-CD34,Dendritic cells,310,0.04552129221732746
NBM11-CD34,NBM-CD34,NK-cells,40,0.00587371512481644
NBM11-CD34,NBM-CD34,T-cells,85,0.01248164464023494
NBM11-CD34,NBM-CD34,B-cells,497,0.07298091042584434
AML24-AML-1,NPM1,AML Immature,2842,0.6447368421052632
AML24-AML-1,NPM1,HSC,5,0.00113430127041742
AML24-AML-1,NPM1,LMPP,54,0.01225045372050816
AML24-AML-1,NPM1,GMP,144,0.03266787658802177
